# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
,223,-105.53468648,40.65683031,2384,41300,1,23.794,180,0,0,2,0,11,,
,224,-105.52246766,40.65714693,2374,39100,1,32.543,283,0,0,2,0,22,,
,225,-105.64216224,40.65410819,2987,596400,1,15.398,101,0,0,1,0,13,,
,226,-105.57529599,40.65604765,2557,94700,1,14.245,-35,0,1,3,0,15,,
,227,-105.5517395,40.65357991,2521,342700,1,14.891,81,0,0,3,0,20,,
,228,-105.53843206,40.65600389,2375,79700,1,9.099,65,0,0,3,0,11,,
,229,-105.6359273,40.65606376,2893,31500,1,6.237,71,0,0,1,0,13,,
,230,-105.59432527,40.65374607,2671,241000,1,15,-26,0,1,2,0,16,,
,231,-105.60696697,40.65480463,2841,127500,1,7.996,80,0,0,2,0,10,,
,232,-105.58011939,40.65643666,2587,33200,1,8.029,84,0,1,3,0,16,,
,233,-105.5272329,40.6557413,2356,29500,1,18.731,287,0,0,2,0,22,,
,234,-105.56931148,40.65550188,2582,59900,1,13.542,76,0,1,3,0,17,,
,235,-105.53162269,40.65817069,2409,24800,1,8.434,255,0,0,2,0,11,,
,236,-105.6315524,40.65522653,2915,46900,1,14.054,-43,0,0,1,0,19,,
,237,-105.60165554,40.65589066,2820,53900,1,11.511,118,0,1,3,0,10,,
,238,-105.63488653,40.65438302,2937,23600,1,7.09,119,0,0,1,0,13,,
,239,-105.58107931,40.65479673,2589,54200,1,6.946,0,0,0,3,0,15,,
,240,-105.53089052,40.65547056,2376,40900,1,23.312,239,0,0,2,0,11,,
,241,-105.62652196,40.6561787,2865,85300,1,11.144,87,0,0,1,0,19,,
,242,-105.52350899,40.65504745,2335,25400,1,21.652,105,0,0,2,0,22,,
,243,-105.52194016,40.65328563,2387,163400,1,14.034,96,0,0,15,0,22,,
,244,-105.63149799,40.65124948,2974,409800,1,14.337,93,0,0,1,0,19,,
,245,-105.53493156,40.6547649,2361,25800,1,11.18,64,0,0,3,0,11,,
,246,-105.54144328,40.65485847,2401,30500,1,8.358,-31,0,1,3,0,21,,
,247,-105.6012303,40.65490295,2824,23100,1,14.24,308,0,0,2,0,16,,
,248,-105.57580764,40.65427857,2579,101900,1,14.619,120,0,1,3,0,15,,
,249,-105.55398661,40.65588915,2507,23300,1,20.687,88,0,0,3,0,18,,
,250,-105.54611744,40.65543311,2440,58700,1,15.682,72,0,0,4,0,20,,
,251,-105.53917063,40.65382606,2406,124400,1,13.21,89,0,1,3,0,21,,
,252,-105.64382737,40.65414112,2970,253900,1,7.362,0,0,0,1,0,13,,
,253,-105.58728484,40.65510041,2613,62900,1,11.825,87,0,1,3,0,16,,
,254,-105.5850662,40.653642,2631,47400,1,10.064,-8,0,1,3,0,15,,
,255,-105.53131677,40.65446936,2346,52300,1,12.708,270,0,1,2,0,11,,
,256,-105.52580565,40.65458636,2334,44300,1,10.45,74,0,0,1,0,22,,
,257,-105.58201598,40.6547375,2598,22200,1,8.981,-41,0,0,3,0,15,,
,258,-105.57595047,40.65498448,2554,39900,1,14.774,115,0,1,3,0,15,,
,259,-105.56343755,40.6534328,2570,63500,1,12.732,202,0,0,3,0,23,,
,260,-105.56721493,40.649657,2667,501200,1,14.372,58,0,1,3,0,23,,
,261,-105.54368008,40.65376134,2431,40700,1,14.097,-37,0,1,3,0,21,,
,262,-105.60282615,40.65367052,2811,67100,1,20.012,294,0,0,2,0,16,,
,263,-105.59942144,40.65380552,2761,41800,1,16.091,306,0,0,2,0,16,,
,264,-105.54273818,40.65318478,2426,34300,1,19.114,89,0,1,4,0,21,,
,265,-105.63463168,40.65330234,2939,66200,1,7.408,44,0,0,1,0,19,,
,266,-105.63348297,40.65231592,2938,84000,1,8.576,64,0,0,1,0,19,,
,267,-105.62726948,40.65496702,2889,64900,1,17.455,100,0,0,1,0,19,,
,268,-105.52824001,40.65298969,2351,43300,1,11.431,-26,0,0,2,0,25,,
,269,-105.5149868,40.65246255,2439,23500,1,10.699,113,0,0,15,0,22,,
,270,-105.57240132,40.653604,2624,62700,1,13.179,119,0,1,3,0,15,,
,271,-105.57017793,40.65335327,2626,20700,1,7.765,-8,0,0,2,0,23,,
,272,-105.53037186,40.65370273,2353,53500,1,15.86,80,0,0,3,0,11,,
,273,-105.65001584,40.65441125,3077,73600,1,22.027,-35,0,0,2,0,13,,
,274,-105.58876638,40.6538254,2639,90300,1,13.788,102,0,1,3,0,16,,
,275,-105.59238769,40.65273105,2647,29700,1,17.108,123,0,1,3,0,16,,
,276,-105.53692591,40.65149766,2412,153600,1,14.195,0,0,1,3,0,24,,
,277,-105.53614463,40.65327281,2389,33100,1,10.043,37,0,1,3,0,11,,
,278,-105.58251981,40.65299313,2606,35100,1,11.455,52,0,0,3,0,15,,
,279,-105.60043086,40.65210076,2735,44100,1,12.956,299,0,0,2,0,16,,
,280,-105.65306849,40.65165796,3096,130300,1,13.787,0,0,0,2,0,13,,
,281,-105.51980232,40.65339079,2378,26400,1,21.154,68,0,0,15,0,22,,
,282,-105.60727983,40.65282551,2854,48600,1,9.826,314,0,1,2,0,16,,
,283,-105.57919787,40.65206576,2616,43900,1,16.756,73,0,1,3,0,15,,
,284,-105.57688875,40.65292775,2605,45100,1,15.037,116,0,1,3,0,15,,
,285,-105.52578718,40.65245435,2373,26500,1,11.546,203,0,0,1,0,25,,
,286,-105.51653343,40.65317348,2422,69800,1,16.577,181,0,0,15,0,22,,
,287,-105.54813065,40.65278966,2509,46800,1,13.813,0,0,0,3,0,21,,
,288,-105.53192416,40.6511449,2390,60700,1,8.121,77,0,0,3,0,25,,
,289,-105.60368463,40.65237021,2788,42100,1,15.989,306,0,1,3,0,16,,
,290,-105.58767273,40.65109928,2694,57000,1,11.139,67,0,1,3,0,15,,
,291,-105.58400709,40.65147225,2634,65000,1,14.125,-13,0,1,3,0,15,,
,292,-105.62319837,40.65269172,2938,90000,1,13.937,27,0,0,2,0,9,,
,293,-105.61284657,40.65061181,2910,82700,1,15.079,-11,0,1,2,0,16,,
,294,-105.54821021,40.65211901,2498,26400,1,24.017,-33,0,0,2,0,21,,
,295,-105.64263938,40.65321416,2962,20400,1,7.431,60,0,0,1,0,13,,
,296,-105.58723,40.64928487,2687,141500,1,15.121,-37,0,1,3,0,15,,
,297,-105.57404683,40.65187845,2655,24200,1,10.664,116,0,1,3,0,15,,
,298,-105.57151496,40.6515469,2656,41900,1,7.447,49,0,0,3,0,23,,
,299,-105.54473494,40.65158828,2486,104000,1,22.042,75,0,1,3,0,21,,
,300,-105.59539484,40.64975693,2712,342300,1,14.645,95,0,1,3,0,16,,
,301,-105.5776655,40.64988054,2680,232800,1,15.653,98,0,1,3,0,15,,
,302,-105.51795326,40.6511537,2429,54100,1,14.856,9,0,0,15,0,22,,
,303,-105.53370463,40.65208247,2379,22700,1,12.957,73,0,0,3,0,24,,
,304,-105.52335209,40.65096172,2425,50900,1,15.069,146,0,0,15,0,25,,
,305,-105.59228594,40.6516196,2676,22800,1,14.942,112,0,1,3,0,16,,
,306,-105.53109731,40.64922064,2393,107400,1,13.622,0,0,0,2,0,25,,
,307,-105.58093557,40.65114238,2629,28400,1,9.304,79,0,1,3,0,15,,
,308,-105.55982661,40.65160758,2612,20500,1,10.799,61,0,0,3,0,18,,
,309,-105.63888788,40.65066978,3011,39300,1,13.178,4,0,0,1,0,19,,
,310,-105.60582571,40.65171133,2808,33700,1,18.546,310,0,1,3,0,16,,
,311,-105.61839565,40.6511065,2931,170100,1,14.528,100,0,0,3,0,9,,
,312,-105.52594787,40.65125216,2394,36600,1,14.035,93,0,0,1,0,25,,
,313,-105.62766628,40.65134144,2983,41000,1,9.395,86,0,0,3,0,19,,
,314,-105.528928,40.65030871,2367,29600,1,14.741,151,0,0,1,0,25,,
,315,-105.55799878,40.65234146,2586,22100,1,15.044,96,0,0,3,0,18,,
,316,-105.60392563,40.65085992,2753,28800,1,19.722,287,0,0,3,0,16,,
,317,-105.52733311,40.65161371,2372,22000,1,17.439,156,0,0,2,0,25,,
,318,-105.62012189,40.65007395,2960,21900,1,6.653,61,0,0,3,0,9,,
,319,-105.60875113,40.65121141,2837,49500,1,14.822,311,0,1,3,0,16,,
,320,-105.55648982,40.65042023,2622,28700,1,12.035,66,0,0,3,0,20,,
,321,-105.53425764,40.65084725,2395,44100,1,11.327,103,0,0,3,0,24,,
,322,-105.60760631,40.65028899,2797,39000,1,18.468,299,0,1,4,0,16,,
,323,-105.55892898,40.65024117,2634,37800,1,11.973,90,0,0,3,0,18,,
,324,-105.55239356,40.64989947,2573,47300,1,23.134,-39,0,0,2,0,21,,
,325,-105.60016422,40.6510125,2709,40600,1,13.365,295,0,0,2,0,16,,
,326,-105.54095397,40.64859093,2503,112200,1,22.662,0,0,1,3,0,24,,
,327,-105.59624606,40.6504774,2681,36100,1,14.464,101,0,1,2,0,16,,
,328,-105.52319853,40.6480094,2480,100500,1,16.272,143,0,0,15,0,25,,
,329,-105.5202553,40.64920555,2474,47800,1,16.01,11,0,0,15,0,22,,
,330,-105.55423834,40.65057272,2603,20300,1,24.592,80,0,0,3,0,20,,
,331,-105.5451227,40.65034202,2547,91200,1,22.707,93,0,1,3,0,21,,
,332,-105.60268749,40.65001144,2720,37600,1,8.591,19,0,0,4,0,16,,
,333,-105.58226709,40.6505253,2630,27500,1,13.483,137,0,1,3,0,15,,
,334,-105.55406872,40.64881927,2574,34600,1,15.417,282,0,0,2,0,21,,
,335,-105.55032465,40.64960761,2547,23600,1,23.252,109,0,1,3,0,21,,
,336,-105.63869009,40.64770585,3078,213600,1,15.619,93,0,0,1,0,19,,
,337,-105.55706188,40.64920589,2627,59600,1,15.341,277,0,0,2,0,21,,
,338,-105.64848718,40.64909958,3103,317000,1,16.14,60,0,0,3,0,13,,
,339,-105.61187265,40.64883034,2877,76700,1,16.454,0,0,1,3,0,16,,
,340,-105.5260067,40.64938649,2424,55700,1,13.16,152,0,0,1,0,25,,
,341,-105.52454071,40.64992532,2434,25200,1,13.468,93,0,0,15,0,25,,
,342,-105.6083662,40.64916728,2791,61000,1,14.19,-10,0,1,4,0,16,,
,343,-105.54771914,40.6494268,2574,23900,1,14.377,114,0,1,3,0,21,,
,344,-105.53540734,40.64911091,2425,50900,1,10.024,105,0,1,3,0,24,,
,345,-105.51779106,40.65020504,2433,46000,1,9.135,50,0,0,15,0,22,,
,346,-105.58438991,40.64882037,2643,39300,1,8.739,113,0,1,4,0,15,,
,347,-105.54322576,40.64705137,2577,139900,1,13.899,-2,0,1,3,0,24,,
,348,-105.53244443,40.6491297,2416,21000,1,11.807,48,0,0,3,0,25,,
,349,-105.60796471,40.64792341,2801,34700,1,13.086,28,0,1,3,0,16,,
,350,-105.58676019,40.6453665,2707,111700,1,14.437,96,0,1,3,0,15,,
,351,-105.55490479,40.64790278,2576,37400,1,7.896,-14,0,1,3,0,21,,
,352,-105.54927264,40.64876609,2579,29600,1,10.904,96,0,1,3,0,21,,
,353,-105.54803101,40.64807042,2599,23600,1,14.194,121,0,1,3,0,21,,
,354,-105.54581265,40.64792289,2608,20200,1,12.18,-32,0,1,3,0,24,,
,355,-105.5375757,40.64886665,2428,21800,1,14.609,91,0,1,3,0,24,,
,356,-105.59327009,40.64821845,2757,29200,1,10.146,101,0,1,3,0,16,,
,357,-105.52754382,40.64888418,2404,24900,1,14.839,120,0,0,2,0,25,,
,358,-105.52855912,40.6476468,2404,57600,1,14.58,151,0,0,2,0,25,,
,359,-105.55114784,40.64792651,2593,30100,1,18.671,126,0,1,3,0,21,,
,360,-105.65062129,40.64822032,3146,23800,1,10.764,45,0,0,3,0,13,,
,361,-105.56078446,40.64623041,2667,186300,1,14.456,0,0,0,3,0,21,,
,362,-105.52592602,40.6477114,2443,21200,1,12.119,109,0,0,15,0,25,,
,363,-105.57614491,40.64789092,2748,27900,1,12.99,84,0,1,3,0,15,,
,364,-105.61027956,40.64806939,2840,48400,1,14.348,-9,0,1,3,0,16,,
,365,-105.53667752,40.64794353,2447,21300,1,11.635,89,0,1,3,0,24,,
,366,-105.53931686,40.64689041,2491,49700,1,18.674,50,0,1,3,0,24,,
,367,-105.53306632,40.64694844,2422,36000,1,13.608,-39,0,0,2,0,26,,
,368,-105.6033491,40.6463425,2825,436300,1,17.127,85,0,1,3,0,16,,
,369,-105.59222214,40.64778504,2751,32500,1,13.038,297,0,1,3,0,15,,
,370,-105.57832712,40.64881391,2712,37300,1,19.911,93,0,1,3,0,15,,
,371,-105.54626136,40.64664043,2613,25800,1,7.315,37,0,0,3,0,24,,
,372,-105.55204001,40.64678142,2598,77300,1,13.94,71,0,1,3,0,21,,
,373,-105.53371166,40.64600171,2420,73900,1,10.976,-14,0,1,3,0,26,,
,374,-105.58298711,40.64769693,2689,26900,1,22.423,121,0,1,3,0,15,,
,375,-105.58324392,40.64643222,2725,79200,1,16.684,115,0,1,3,0,15,,
,376,-105.54838578,40.64702466,2615,22400,1,8.032,110,0,1,3,0,21,,
,377,-105.57287673,40.64727859,2758,45800,1,11.083,86,0,0,3,0,23,,
,378,-105.56685394,40.64683463,2726,39400,1,7.577,94,0,0,3,0,23,,
,379,-105.59054628,40.64713168,2709,43100,1,14.687,298,0,1,2,0,15,,
,380,-105.58991627,40.64603096,2706,65100,1,12.905,66,0,1,3,0,15,,
,381,-105.53737018,40.64556928,2473,34400,1,15.253,-6,0,1,3,0,26,,
,382,-105.59596077,40.64574062,2786,33500,1,17.188,10,0,1,3,0,15,,
,383,-105.55681247,40.64713731,2599,23600,1,10.518,13,0,0,3,0,21,,
,384,-105.52944427,40.64607863,2409,23400,1,24.298,157,0,0,2,0,27,,
,385,-105.52742685,40.64600963,2447,27300,1,10.186,139,0,0,2,0,27,,
,386,-105.55602402,40.64615605,2594,22200,1,8.252,35,0,0,3,0,21,,
,387,-105.54406764,40.64670025,2586,20200,1,12.742,53,0,1,3,0,24,,
,388,-105.59339448,40.64612154,2742,41300,1,12.525,10,0,1,3,0,15,,
,389,-105.52371033,40.64572365,2483,59700,1,10.443,268,0,0,15,0,27,,
,390,-105.54613825,40.64552921,2623,42500,1,10.076,17,0,0,3,0,24,,
,391,-105.5309593,40.64466076,2411,26300,1,13.047,-11,0,1,2,0,27,,
,392,-105.56361317,40.64475637,2739,25000,1,12.535,47,0,0,3,0,21,,
,393,-105.53939402,40.64474445,2530,57500,1,18.278,14,0,1,3,0,26,,
,394,-105.55192629,40.6454194,2621,60400,1,11.682,187,0,1,3,0,21,,
,395,-105.55491023,40.64525263,2594,25500,1,7.526,95,0,0,3,0,21,,
,396,-105.52799894,40.64518789,2440,23900,1,12.87,146,0,0,1,0,27,,
,397,-105.59673299,40.64455061,2799,25200,1,9.787,29,0,1,3,0,15,,
,398,-105.55832116,40.64574939,2624,67300,1,10.132,0,0,0,3,0,21,,
,399,-105.59384804,40.64241673,2823,325800,1,15.796,90,0,1,3,0,15,,
,400,-105.53877502,40.64340329,2501,72100,1,23.007,0,0,1,3,0,26,,
,401,-105.59232146,40.64341889,2788,38100,1,16.903,41,0,1,3,0,15,,
,402,-105.58957675,40.64507285,2715,32900,1,11.983,26,0,1,3,0,15,,
,403,-105.5300174,40.64424638,2416,20100,1,12.258,139,0,0,2,0,27,,
,404,-105.53598857,40.64495216,2441,52700,1,13.551,-14,0,1,3,0,26,,
,405,-105.55489427,40.64401278,2614,51400,1,8.587,88,0,0,3,0,21,,
,406,-105.54746015,40.64431565,2614,136600,1,12.903,256,0,1,2,0,26,,
,407,-105.53259391,40.64298591,2436,81200,1,7.217,0,0,1,3,0,27,,
,408,-105.53473351,40.64349461,2437,53600,1,11.879,122,0,1,3,0,26,,
,409,-105.6007309,40.64420166,2854,69000,1,12.723,-43,0,1,3,0,15,,
,410,-105.55670564,40.64263723,2656,98700,1,14.388,78,0,0,3,0,21,,
,411,-105.52508062,40.64460293,2463,66400,1,8.501,258,0,0,15,0,27,,
,412,-105.52709694,40.64382227,2447,29800,1,9.463,126,0,0,1,0,27,,
,413,-105.56133784,40.64391476,2706,33700,1,21.416,37,0,0,3,0,21,,
,414,-105.52628403,40.64296096,2469,77400,1,13.602,104,0,0,2,0,27,,
,415,-105.5527348,40.64156315,2633,84300,1,12.441,0,0,0,3,0,26,,
,416,-105.59955732,40.64291063,2841,36100,1,7.781,0,0,0,3,0,15,,
,417,-105.54968884,40.64236557,2586,56800,1,8.377,0,0,1,3,0,26,,
,418,-105.54450639,40.64290588,2574,92600,1,16.242,261,0,0,2,0,26,,
,419,-105.54735846,40.64245504,2569,30400,1,9.454,266,0,0,3,0,26,,
,420,-105.53006827,40.64196826,2446,28600,1,14.785,158,0,1,2,0,27,,
,421,-105.53822595,40.64122719,2486,74100,1,18.916,90,0,1,3,0,26,,
,422,-105.52619703,40.64191314,2487,30800,1,5.615,173,0,0,3,0,27,,
,423,-105.54423146,40.64227245,2570,35100,1,16.949,280,0,0,2,0,26,,
,424,-105.54646842,40.64079844,2560,95100,1,13.522,61,0,1,3,0,26,,
,425,-105.54842844,40.63904298,2598,52300,1,7.369,39,0,0,3,0,26,,
,426,-105.53305377,40.6411133,2449,51800,1,8.386,73,0,1,3,0,27,,
,427,-105.54200764,40.64142064,2522,25500,1,25.66,280,0,0,3,0,26,,
,428,-105.52805611,40.64141446,2472,22100,1,11.203,225,0,1,3,0,27,,
,429,-105.52802201,40.64078199,2474,32700,1,10.387,152,0,1,3,0,27,,
,430,-105.53639597,40.63968435,2496,50200,1,14.442,19,0,1,3,0,27,,
,431,-105.59504097,40.63944051,2925,21100,1,17.722,73,0,0,3,0,15,,
,432,-105.52664546,40.64022835,2492,25400,1,9.987,96,0,1,3,0,27,,
,433,-105.54201541,40.6397765,2521,30500,1,15.837,38,0,1,3,0,26,,
,434,-105.5961258,40.63987893,2920,100100,1,16.014,90,0,0,3,0,15,,
,435,-105.53367842,40.63984287,2473,50700,1,14.29,64,0,1,3,0,27,,
,436,-105.53769511,40.63953079,2530,25700,1,23.099,13,0,1,3,0,27,,
,437,-105.55138879,40.63999968,2620,47500,1,6.958,-34,0,0,3,0,26,,
,438,-105.53709595,40.63784141,2545,28400,1,12.914,35,0,1,3,0,27,,
,439,-105.5449382,40.63996123,2554,31900,1,12.26,44,0,1,3,0,26,,
,440,-105.53953745,40.63892255,2546,26600,1,15.004,91,0,1,3,0,26,,
,441,-105.53292527,40.63805588,2498,82000,1,10.114,0,0,1,3,0,27,,
,442,-105.52882322,40.63962208,2483,46400,1,12.032,150,0,1,3,0,27,,
,443,-105.54510135,40.63911732,2567,22000,1,7.146,-5,0,1,3,0,26,,
,444,-105.54187793,40.63884898,2540,31900,1,18.031,108,0,1,3,0,26,,
,445,-105.53439148,40.63857942,2505,26100,1,14.853,57,0,1,3,0,27,,
,446,-105.53023651,40.63812889,2497,41900,1,14.548,115,0,1,3,0,27,,
,447,-105.54366173,40.63762017,2576,31500,1,6.983,102,0,1,3,0,26,,
,448,-105.54037663,40.63786269,2569,20400,1,9.219,133,0,1,3,0,26,,
,449,-105.54181989,40.63711925,2581,49600,1,12.895,78,0,1,3,0,26,,
