@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,B_MM
ID,-,82
,06.09.2021 13:30:00,1.2
,06.09.2021 13:40:00,0.3
,12.09.2021 07:30:00,0.3
,12.09.2021 08:40:00,0.3
,12.09.2021 09:10:00,0.3
,12.09.2021 13:40:00,3
,12.09.2021 13:50:00,1.2
,13.09.2021 22:20:00,0.9
,13.09.2021 23:30:00,0.3
,19.09.2021 23:30:00,0.3
,19.09.2021 23:50:00,0.6
,20.09.2021 00:00:00,0.6
,20.09.2021 00:10:00,0.9
,20.09.2021 01:10:00,0.3
,23.09.2021 12:30:00,0.3
,23.09.2021 12:40:00,0.6
,23.09.2021 12:50:00,0.3
,23.09.2021 13:00:00,0.3
,23.09.2021 13:10:00,0.6
,23.09.2021 13:20:00,0.3
,23.09.2021 13:30:00,0.9
,29.09.2021 13:10:00,0.3
,29.09.2021 13:20:00,0.3
,29.09.2021 15:10:00,0.3
,29.09.2021 15:20:00,0.9
,29.09.2021 15:30:00,0.3
,29.09.2021 15:50:00,0.3
,30.09.2021 03:40:00,0.3
,30.09.2021 21:40:00,0.3
,08.10.2021 15:50:00,0.3
,08.10.2021 16:20:00,0.3
,08.10.2021 16:30:00,0.3
,08.10.2021 16:40:00,0.3
,08.10.2021 17:30:00,0.3
,08.10.2021 17:50:00,0.3
,09.10.2021 06:50:00,0.3
,12.10.2021 15:30:00,0.3
,24.05.2022 12:40:00,0.3
,24.05.2022 14:20:00,0.3
,24.05.2022 14:40:00,1.2
,24.05.2022 14:50:00,1.5
,24.05.2022 15:00:00,1.5
,24.05.2022 15:10:00,1.8
,24.05.2022 15:20:00,0.9
,24.05.2022 15:30:00,0.9
,24.05.2022 15:40:00,0.6
,24.05.2022 15:50:00,0.6
,24.05.2022 16:00:00,0.6
,24.05.2022 16:10:00,0.6
,24.05.2022 16:20:00,0.3
,25.05.2022 05:40:00,0.3
,25.05.2022 07:40:00,1.2
,25.05.2022 07:50:00,1.5
,25.05.2022 08:00:00,1.8
,25.05.2022 08:10:00,2.4
,25.05.2022 08:20:00,1.8
,25.05.2022 08:30:00,1.2
,25.05.2022 08:40:00,0.6
,29.05.2022 13:30:00,0.3
,29.05.2022 13:50:00,0.3
,29.05.2022 14:30:00,0.3
,29.05.2022 17:40:00,0.3
,31.05.2022 12:50:00,0.3
,31.05.2022 13:10:00,0.3
,31.05.2022 13:40:00,0.3
,31.05.2022 14:20:00,0.3
,31.05.2022 14:30:00,0.3
,31.05.2022 14:40:00,0.6
,31.05.2022 14:50:00,0.3
,31.05.2022 15:00:00,0.3
,31.05.2022 15:10:00,0.3
,31.05.2022 15:50:00,0.3
,31.05.2022 16:20:00,0.3
,31.05.2022 16:30:00,0.3
,01.06.2022 09:30:00,3.6
,01.06.2022 09:40:00,5.1
,01.06.2022 09:50:00,3.9
,01.06.2022 10:00:00,2.7
,01.06.2022 10:10:00,2.1
,01.06.2022 10:20:00,1.2
,01.06.2022 10:30:00,0.3
,05.06.2022 19:20:00,0.3
,05.06.2022 20:50:00,0.3
,06.06.2022 15:00:00,2.1
,06.06.2022 15:10:00,1.5
,06.06.2022 15:20:00,1.2
,07.06.2022 01:10:00,1.5
,07.06.2022 01:20:00,0.3
,10.08.2022 13:10:00,0.3
,10.08.2022 13:30:00,0.6
,13.08.2022 12:50:00,0.3
,13.08.2022 13:20:00,0.3
,13.08.2022 13:40:00,0.3
,13.08.2022 17:10:00,0.3
,13.08.2022 17:30:00,0.3
,14.08.2022 13:00:00,0.3
,14.08.2022 15:20:00,0.3
,14.08.2022 18:30:00,0.3
,14.08.2022 21:00:00,0.3
,14.08.2022 21:20:00,0.3
,14.08.2022 21:30:00,0.9
,14.08.2022 21:40:00,0.6
,14.08.2022 23:00:00,0.6
,14.08.2022 23:10:00,0.3
,15.08.2022 11:10:00,0.3
,15.08.2022 11:30:00,0.3
,15.08.2022 11:40:00,0.3
,15.08.2022 11:50:00,1.2
,15.08.2022 12:00:00,3.3
,15.08.2022 12:10:00,0.3
,15.08.2022 12:20:00,0.3
,15.08.2022 12:50:00,0.3
,15.08.2022 13:00:00,2.1
,15.08.2022 13:10:00,6.3
,15.08.2022 13:20:00,4.2
,15.08.2022 13:30:00,1.5
,15.08.2022 13:40:00,0.3
,15.08.2022 14:00:00,0.6
,15.08.2022 14:10:00,2.1
,15.08.2022 14:20:00,0.3
,15.08.2022 14:40:00,0.3
,15.08.2022 14:50:00,1.2
,15.08.2022 15:00:00,0.3
,15.08.2022 15:10:00,0.3
,15.08.2022 15:20:00,2.1
,15.08.2022 15:30:00,1.8
,15.08.2022 15:40:00,3.6
,15.08.2022 15:50:00,0.3
,15.08.2022 16:30:00,0.3
,15.08.2022 17:00:00,0.3
,15.08.2022 17:10:00,0.3
,15.08.2022 18:00:00,0.6
,15.08.2022 18:10:00,0.6
,15.08.2022 18:20:00,0.3
,15.08.2022 18:30:00,0.9
,15.08.2022 18:40:00,1.2
,15.08.2022 18:50:00,1.2
,15.08.2022 19:00:00,0.3
,15.08.2022 19:10:00,0.3
,21.08.2022 10:20:00,0.3
,21.08.2022 10:30:00,3.3
,21.08.2022 10:40:00,2.4
,21.08.2022 10:50:00,1.5
,21.08.2022 11:00:00,0.3
,24.08.2022 14:00:00,0.3
,24.08.2022 14:10:00,0.3
,25.08.2022 13:50:00,0.3
,25.08.2022 14:00:00,0.6
,25.08.2022 14:10:00,0.3
,26.08.2022 11:50:00,1.5
,26.08.2022 15:50:00,0.3
,28.08.2022 15:10:00,0.3
,28.08.2022 15:20:00,0.3
,09.09.2022 16:30:00,0.3
,09.09.2022 17:20:00,0.3
,09.09.2022 19:30:00,0.3
,09.09.2022 20:50:00,0.3
,09.09.2022 21:40:00,0.3
,09.09.2022 22:20:00,0.3
,09.09.2022 23:00:00,0.3
,10.09.2022 00:00:00,0.3
,10.09.2022 01:00:00,0.3
,10.09.2022 02:00:00,0.3
,10.09.2022 03:00:00,0.3
,10.09.2022 04:00:00,0.3
,10.09.2022 05:50:00,0.3
,14.09.2022 12:10:00,0.3
,14.09.2022 12:20:00,0.6
,14.09.2022 15:20:00,0.3
,14.09.2022 15:30:00,0.3
,14.09.2022 15:40:00,0.3
,14.09.2022 15:50:00,0.9
,14.09.2022 16:00:00,1.2
,14.09.2022 16:10:00,1.2
,14.09.2022 16:20:00,2.1
,14.09.2022 16:30:00,0.6
,15.09.2022 07:20:00,0.3
,15.09.2022 09:40:00,0.3
,16.09.2022 11:50:00,0.6
,16.09.2022 12:00:00,0.3
,16.09.2022 17:30:00,0.3
,21.09.2022 14:00:00,1.5
,21.09.2022 14:10:00,0.9
,21.09.2022 14:20:00,0.9
,21.09.2022 14:30:00,0.9
,21.09.2022 14:40:00,0.9
,21.09.2022 14:50:00,0.6
,21.09.2022 15:00:00,0.6
,21.09.2022 15:10:00,0.3
,21.09.2022 15:30:00,0.3
,21.09.2022 16:00:00,0.3
,21.09.2022 16:10:00,0.3
,21.09.2022 16:20:00,0.6
,21.09.2022 16:30:00,0.3
,21.09.2022 16:50:00,0.3
,21.09.2022 17:30:00,0.3
,21.09.2022 17:50:00,0.3
,21.09.2022 18:00:00,0.6
,21.09.2022 18:10:00,0.3
,21.09.2022 18:20:00,0.3
,21.09.2022 19:10:00,0.3
,21.09.2022 19:20:00,0.3
,21.09.2022 19:30:00,0.3
,21.09.2022 19:40:00,0.3
,21.09.2022 20:00:00,0.3
,21.09.2022 20:30:00,0.3
,21.09.2022 21:20:00,0.3
,21.09.2022 21:50:00,0.3
,21.09.2022 23:10:00,0.3
,21.09.2022 23:30:00,0.3
,21.09.2022 23:50:00,0.3
,22.09.2022 00:50:00,0.3
,22.09.2022 04:00:00,0.3
,22.09.2022 06:50:00,0.3
,27.09.2022 15:20:00,0.3
,27.09.2022 15:30:00,0.3
,27.09.2022 15:40:00,1.2
,27.09.2022 15:50:00,0.6
,04.10.2022 16:10:00,0.3
,04.10.2022 16:20:00,0.9
